Status Response: [00 01 00 12 7f 00 78 01 27 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 27 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 12 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 18°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
Status Response: [00 01 00 13 7f 00 78 01 26 00] (?: 00,?: 01, Error code: 00, Temp: 19°C, ?: 7f 00, Voltage: 12.0V, ?: 01 26 00)
